game_date,offposs,points,fg_two_m,fg_two_a,fg_two_pct,fg_three_m,fg_three_a,fg_three_pct,ftpoints,tspct,home_id,team_id,assists,rebounds,defrebounds,offrebounds
2011-01-06,90,99,35,68,0.51,4,15,0.27,17,0.52,23,29,23,46,30,16
2011-01-12,96,118,37,70,0.53,6,14,0.43,26,0.59,9,29,24,51,35,16
2011-01-17,91,94,35,65,0.54,2,22,0.09,18,0.48,27,29,21,46,31,15
2011-01-19,91,107,37,68,0.54,3,15,0.20,24,0.55,26,29,22,50,33,17
2011-01-24,86,89,27,55,0.49,6,16,0.38,17,0.55,19,29,20,43,33,10
2011-01-26,108,118,34,72,0.47,8,21,0.38,26,0.56,20,29,21,48,34,14
2011-02-04,95,111,36,64,0.56,6,18,0.33,21,0.59,13,29,25,46,35,11
2011-02-05,88,121,30,55,0.55,13,21,0.62,22,0.70,17,29,30,37,30,7
2011-02-12,95,99,36,67,0.54,2,13,0.15,21,0.52,11,29,12,39,30,9
2011-02-13,88,94,23,41,0.56,8,18,0.44,24,0.66,2,29,15,35,32,3
2011-02-23,98,105,30,67,0.45,7,24,0.29,24,0.50,10,29,15,59,44,15
2011-02-25,90,88,19,62,0.31,10,25,0.40,20,0.44,6,29,17,51,32,19
2011-03-04,91,111,35,65,0.54,7,18,0.39,20,0.60,30,29,21,38,26,12
2011-03-07,88,101,36,63,0.57,6,18,0.33,11,0.57,21,29,21,42,30,12
2011-03-09,98,110,40,74,0.54,6,18,0.33,12,0.56,14,29,26,56,38,18
2011-03-13,91,95,31,61,0.51,7,23,0.30,12,0.53,28,29,25,49,40,9
2011-03-14,99,116,30,65,0.46,12,21,0.57,20,0.60,15,29,30,48,34,14
2011-03-16,90,96,26,68,0.38,9,20,0.45,17,0.48,24,29,21,59,39,20
2011-03-30,90,116,35,62,0.56,8,18,0.44,22,0.60,13,29,22,45,31,14
2011-04-01,84,91,25,51,0.49,7,27,0.26,20,0.51,16,29,15,52,32,20
2011-04-02,93,92,30,68,0.44,4,14,0.29,20,0.49,12,29,18,45,29,16
2011-04-05,100,101,31,61,0.51,4,18,0.22,27,0.53,26,29,16,55,46,9
2011-04-10,90,120,32,55,0.58,8,17,0.47,32,0.68,27,29,19,41,33,8
2011-04-11,100,120,41,65,0.63,2,10,0.20,32,0.64,11,29,20,43,33,10
2016-10-26,99,103,33,72,0.46,6,22,0.27,19,0.49,14,29,19,56,40,16
2016-11-02,99,85,29,64,0.45,5,20,0.25,12,0.46,12,29,14,59,43,16
2016-11-03,97,96,25,60,0.42,10,27,0.37,16,0.47,2,29,20,48,30,18
2016-11-14,99,88,28,61,0.46,5,27,0.19,17,0.45,4,29,16,53,39,14
2016-11-22,97,109,34,65,0.52,11,27,0.41,8,0.57,27,29,29,46,31,15
2016-11-23,98,101,25,51,0.49,7,25,0.28,30,0.54,11,29,18,40,35,5
2016-11-25,112,132,35,70,0.50,13,26,0.50,23,0.61,26,29,29,45,37,8
2016-11-28,95,112,38,70,0.54,8,22,0.36,12,0.56,7,29,25,61,41,20
2016-12-05,100,102,27,49,0.55,10,31,0.32,18,0.55,30,29,26,49,38,11
2016-12-13,99,95,25,60,0.42,8,27,0.30,21,0.47,16,29,18,51,30,21
2016-12-14,87,89,24,63,0.38,6,19,0.32,23,0.47,17,29,14,40,25,15
2016-12-21,97,121,34,60,0.57,11,28,0.39,20,0.61,19,29,22,50,37,13
2016-12-23,97,117,30,54,0.56,11,26,0.42,24,0.60,1,29,27,47,36,11
2016-12-27,93,106,37,63,0.59,5,19,0.26,17,0.57,24,29,21,51,34,17
2016-12-29,90,80,21,52,0.40,4,22,0.18,26,0.43,21,29,9,46,26,20
2017-01-02,90,94,27,51,0.53,9,27,0.33,13,0.54,18,29,20,43,34,9
2017-01-04,101,112,33,66,0.50,9,30,0.30,19,0.53,3,29,22,55,37,18
2017-01-05,95,116,29,61,0.48,12,30,0.40,22,0.56,9,29,15,54,38,16
2017-01-09,92,109,40,59,0.68,7,24,0.29,8,0.63,25,29,30,46,38,8
2017-01-13,94,86,30,65,0.46,3,20,0.15,17,0.45,20,29,19,52,34,18
2017-01-15,105,122,31,62,0.50,9,28,0.32,33,0.56,11,29,20,50,29,21
2017-01-16,98,98,26,55,0.47,10,30,0.33,16,0.52,12,29,18,38,28,10
2017-01-18,101,100,30,62,0.48,8,28,0.29,16,0.50,2,29,23,41,25,16
2017-01-23,94,97,30,63,0.48,6,20,0.30,19,0.51,17,29,17,51,38,13
2017-01-25,102,114,32,64,0.50,10,27,0.37,20,0.55,19,29,24,59,44,15
2017-01-29,104,91,31,74,0.42,6,26,0.23,11,0.42,28,29,20,60,43,17
2017-01-31,104,94,23,57,0.40,7,28,0.25,27,0.47,10,29,21,60,43,17
2017-02-06,91,91,27,60,0.45,7,28,0.25,16,0.46,5,29,17,64,42,22
2017-02-13,100,98,27,62,0.44,7,34,0.21,23,0.45,15,29,16,52,27,25
2017-03-02,96,109,23,57,0.40,11,29,0.38,30,0.54,16,29,11,44,29,15
2017-03-03,110,111,28,52,0.54,9,35,0.26,28,0.54,13,29,14,50,37,13
2017-03-05,95,89,31,60,0.52,2,22,0.09,21,0.47,23,29,19,53,39,14
2017-03-14,99,122,34,67,0.51,10,22,0.45,24,0.59,22,29,30,51,32,19
2017-03-16,99,123,33,63,0.52,14,25,0.56,15,0.64,8,29,33,54,39,15
2017-03-26,105,125,36,64,0.56,11,30,0.37,20,0.58,9,29,27,44,27,17
2017-03-27,91,92,31,62,0.50,6,23,0.26,12,0.51,23,29,17,53,37,16
2017-03-29,111,114,33,69,0.48,10,33,0.30,18,0.50,6,29,18,61,47,14
2017-04-05,93,103,23,54,0.43,14,31,0.45,15,0.53,21,29,19,47,34,13
2017-04-07,89,99,27,62,0.44,7,30,0.23,24,0.46,13,29,13,55,29,26
2017-04-09,97,106,34,71,0.48,6,25,0.24,20,0.50,26,29,19,59,40,19
2017-04-11,92,100,30,64,0.47,7,22,0.32,19,0.51,20,29,22,60,37,23
2018-10-16,102,100,23,54,0.43,10,37,0.27,24,0.46,2,29,21,51,31,20
2018-10-19,100,92,27,62,0.44,7,33,0.21,17,0.43,12,29,18,56,37,19
2018-11-01,101,111,33,59,0.56,8,37,0.22,21,0.51,3,29,20,54,37,17
2018-11-02,104,134,34,54,0.63,15,32,0.47,21,0.68,15,29,34,41,33,8
2018-11-07,98,95,28,57,0.49,7,27,0.26,18,0.49,28,29,10,52,42,10
2018-11-10,91,96,29,63,0.46,9,34,0.26,11,0.46,23,29,17,54,27,27
2018-11-17,101,110,31,61,0.51,7,24,0.29,27,0.56,13,29,17,57,41,16
2018-11-19,110,113,33,67,0.49,12,41,0.29,11,0.49,11,29,22,60,44,16
2018-11-21,102,123,38,71,0.54,13,35,0.37,8,0.55,2,29,29,64,43,21
2018-12-03,102,110,36,60,0.60,7,25,0.28,17,0.59,4,29,23,56,48,8
