team_id,date_start,date_end,player_id
2,2010-10-27,2011-04-13,403
2,2010-10-29,2011-04-13,368
2,2011-12-25,2013-02-09,42
2,2013-10-30,2014-04-14,376
2,2018-10-16,2019-04-10,332
2,2017-10-17,2019-04-10,1019
2,2014-01-17,2014-04-16,107
2,2014-10-29,2015-04-15,182
2,2012-03-24,2012-03-28,504
2,2009-10-28,2009-11-14,515
2,2012-11-09,2014-02-10,381
2,2016-10-25,2019-04-10,443
2,2016-01-27,2019-04-10,968
2,2011-12-25,2019-04-10,302
2,2011-12-25,2012-01-10,412
2,2014-10-29,2016-04-13,48
2,2010-12-07,2011-04-13,55
2,2013-03-09,2013-03-17,79
2,2014-01-17,2014-02-10,135
2,2018-11-10,2019-04-10,1146
2,2013-10-30,2016-04-13,146
2,2017-03-02,2017-04-08,29
2,2012-03-22,2012-04-26,508
2,2009-10-30,2012-04-26,470
2,2009-10-28,2012-03-11,383
2,2012-01-06,2012-04-16,272
2,2013-10-30,2014-04-14,731
2,2017-10-17,2018-04-10,369
2,2013-10-30,2015-01-31,609
2,2017-10-17,2018-03-16,163
2,2016-10-25,2018-03-31,920
2,2017-10-21,2019-04-10,856
2,2009-11-18,2009-11-18,512
2,2010-03-02,2011-04-13,375
2,2012-03-17,2013-04-17,20
2,2010-10-27,2011-01-01,754
2,2009-10-28,2010-04-14,433
2,2014-10-29,2019-04-09,90
2,2009-10-28,2019-04-09,429
2,2009-10-28,2009-11-14,344
2,2014-02-20,2014-04-16,10
2,2013-10-30,2014-01-10,61
2,2009-11-17,2011-04-13,206
2,2016-10-25,2018-04-10,406
3,2015-11-20,2016-12-31,905
3,2009-11-25,2010-02-10,758
3,2013-10-30,2016-04-13,341
3,2009-10-28,2009-11-22,711
3,2013-10-30,2014-04-14,450
3,2012-11-02,2014-02-22,89
3,2011-12-26,2019-04-10,130
3,2009-10-28,2012-03-14,397
3,2012-11-02,2013-03-18,28
3,2014-10-29,2017-04-11,306
3,2017-03-02,2017-04-11,860
3,2011-12-26,2013-04-06,343
3,2013-12-20,2014-04-16,280
3,2016-11-07,2017-04-11,871
3,2013-10-30,2019-03-09,695
3,2011-12-26,2012-04-10,262
3,2012-01-01,2012-12-08,112
3,2016-02-21,2016-04-13,69
3,2009-10-28,2012-04-26,366
